# Ethiopian Guerrilla Warfare
#Modified for MEIOU by FB 10.02.07
#tech level 19 c1600

unit_type = soudantech
type = infantry

maneuver = 1
#offensive_morale = 3
#defensive_morale = 7
#offensive_fire = 3
#defensive_fire = 4
#offensive_shock = 2
#defensive_shock = 4
#FB
#offensive_morale = 5
#defensive_morale = 5
#offensive_fire = 3
#defensive_fire = 3
#offensive_shock = 4
#defensive_shock = 4
#Blxz
offensive_morale = 5
defensive_morale = 5
offensive_fire = 4
defensive_fire = 4
offensive_shock = 4
defensive_shock = 4
