# Tipu Sultan Rocket
#Modified for MEIOU by FB 10.02.07
#tech level 48 c1790

unit_type = indian
type = infantry

maneuver = 1
#offensive_morale = 7
#defensive_morale = 1
#offensive_fire = 6
#defensive_fire = 4
#offensive_shock = 6
#defensive_shock = 2
#FB
#offensive_morale = 10
#defensive_morale = 10
#offensive_fire = 8
#defensive_fire = 7
#offensive_shock = 7
#defensive_shock = 7
#Blxz - western equivalent offensive unit is 11/9 morale
offensive_morale = 10
defensive_morale = 10
offensive_fire = 9
defensive_fire = 8
offensive_shock = 8
defensive_shock = 7
